Địa chỉ,Diện tích,Giá,Trang
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",96
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,96
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",96
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",96
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,96
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",96
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",96
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",96
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,97
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",97
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",97
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",97
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",97
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,97
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,97
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",97
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,97
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",97
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",97
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,97
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",97
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",97
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,97
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",97
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",97
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",97
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,98
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",98
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",98
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",98
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",98
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,98
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,98
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",98
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,98
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",98
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",98
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,98
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",98
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",98
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,98
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",98
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",98
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",98
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,99
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",99
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",99
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",99
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",99
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,99
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,99
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",99
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,99
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",99
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",99
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,99
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",99
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",99
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,99
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",99
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",99
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",99
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,100
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",100
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",100
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",100
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",100
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,100
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,100
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",100
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,100
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",100
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",100
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,100
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",100
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",100
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,100
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",100
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",100
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",100
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,101
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",101
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",101
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",101
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",101
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,101
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,101
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",101
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,101
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",101
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",101
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,101
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",101
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",101
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,101
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",101
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",101
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",101
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,102
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",102
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",102
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",102
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",102
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,102
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,102
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",102
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,102
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",102
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",102
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,102
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",102
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",102
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,102
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",102
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",102
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",102
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,103
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",103
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",103
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",103
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",103
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,103
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,103
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",103
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,103
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",103
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",103
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,103
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",103
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",103
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,103
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",103
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",103
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",103
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,104
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",104
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",104
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",104
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",104
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,104
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,104
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",104
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,104
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",104
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",104
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,104
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",104
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",104
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,104
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",104
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",104
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",104
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,105
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",105
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",105
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",105
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",105
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,105
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,105
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",105
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,105
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",105
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",105
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,105
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",105
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",105
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,105
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",105
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",105
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",105
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,106
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",106
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",106
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",106
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",106
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,106
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,106
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",106
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,106
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",106
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",106
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,106
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",106
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",106
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,106
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",106
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",106
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",106
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,107
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",107
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",107
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",107
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",107
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,107
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,107
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",107
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,107
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",107
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",107
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,107
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",107
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",107
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,107
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",107
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",107
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",107
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,108
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",108
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",108
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",108
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",108
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,108
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,108
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",108
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,108
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",108
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",108
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,108
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",108
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",108
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,108
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",108
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",108
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",108
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,109
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",109
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",109
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",109
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",109
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,109
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,109
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",109
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,109
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",109
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",109
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,109
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",109
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",109
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,109
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",109
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",109
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",109
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,110
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",110
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",110
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",110
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",110
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,110
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,110
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",110
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,110
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",110
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",110
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,110
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",110
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",110
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,110
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",110
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",110
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",110
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,111
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",111
"Quận Bình Tân,  TP Hồ Chí Minh",314 m2,"26,7 Tỷ",111
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,75 Tỷ",111
"Huyện Diên Khánh,  Khánh Hòa",489 m2,"1,45 Tỷ",111
"Quận 12,  TP Hồ Chí Minh",110 m2,17 Tỷ,111
"Thị xã Tân Uyên,  Bình Dương",210 m2,5 Tỷ,111
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",111
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,111
"Huyện Long Thành,  Đồng Nai",100 m2,"1,2 Tỷ",111
"Huyện Vĩnh Linh,  Quảng Trị",974 m2,"1,5 Tỷ",111
"Huyện Long Thành,  Đồng Nai",100 m2,990 Triệu,111
"Quận Hải Châu,  Đà Nẵng",64 m2,"3,7 Tỷ",111
"Quận Sơn Trà,  Đà Nẵng","51,5 m2","2,3 Tỷ",111
"Huyện Cần Giờ,  TP Hồ Chí Minh",280 m2,12 Tỷ,111
"Huyện Bình Minh,  Thành phố Vĩnh Long",95 - 554 m2,"2,52 - 10 Tỷ",111
"Huyện Gia Lâm, Hà Nội","47,1 m2","3,93 Tỷ",111
"Quận Bình Tân,  TP Hồ Chí Minh",47 m2,"1,75 Tỷ",111
"Huyện Khánh Vĩnh,  Khánh Hòa",1343 m2,550 Triệu,112
"Quận Bình Tân,  TP Hồ Chí Minh",30 m2,"1,85 Tỷ",112
